page_mis_login.py           36 INFO     正在调用后台组合登录业务方法,用户名:testid,密码:testpwd123
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('name', 'username') 元素执行输入操作:testid
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('name', 'password') 元素执行输入操作:testpwd123
base.py                     37 INFO     正在对('css selector', '#inp1')元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     15 INFO     正在查找元素:
base.py                     42 INFO     正在获取('css selector', '.user_info>span')元素的文本内容:欢迎 管理员
base.py                     15 INFO     正在查找元素:
