page_mis_audit.py           62 INFO     正在调用后台文章审核组合业务方法,文章标题:基于Android的黑马头条APP的设计与实现,频道:android
base.py                     37 INFO     正在对('xpath', "//*[@class='menu']//*[text()='信息管理']")元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     37 INFO     正在对('xpath', "//*[@class='menu']//*[text()='内容审核']")元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入操作:基于Android的黑马头条APP的设计与实现
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('css selector', "[placeholder='请输入: 频道']") 元素执行输入操作:android
web_base.py                 12 INFO     正在调用选择状态方法,placeholder=请选择状态,点击文本为:待审核
base.py                     37 INFO     正在对('css selector', "[placeholder='请选择状态']")元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     20 INFO     正在查找元素:
base.py                     37 INFO     正在对('css selector', '.find')元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     15 INFO     正在查找元素:
base.py                     42 INFO     正在获取('css selector', '.cell>span')元素的文本内容:1215799598061191168
base.py                     15 INFO     正在查找元素:
base.py                     37 INFO     正在对('xpath', "//*[text()='通过']/..")元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     37 INFO     正在对('css selector', '.el-button--primary')元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入操作:基于Android的黑马头条APP的设计与实现
base.py                     15 INFO     正在查找元素:
base.py                     29 INFO     正在执行清空操作
base.py                     32 INFO     正在给 ('css selector', "[placeholder='请输入: 频道']") 元素执行输入操作:android
web_base.py                 12 INFO     正在调用选择状态方法,placeholder=请选择状态,点击文本为:审核通过
base.py                     37 INFO     正在对('css selector', "[placeholder='请选择状态']")元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     20 INFO     正在查找元素:
base.py                     37 INFO     正在对('css selector', '.find')元素执行点击操作
base.py                     15 INFO     正在查找元素:
base.py                     15 INFO     正在查找元素:
web_base.py                 31 INFO     页面存在要查找的元素
